58  ;* eta Cas B                        ;PM*;122.6176139505233 -05.0524863279744;K7Ve                   ;    5.9270
59  ;Wolf 33                            ;PM*;122.9397479860540 -04.5697184274956;M0.0V                  ;   18.9853
60  ;* eta Cas                          ;PM*;122.6200464181613 -05.0551575157688;F9V                    ;    5.9230
61  ;* tet Per                          ;PM*;141.1655001030910 -09.6096955894506;F8V                    ;   11.1501
62  ;* tet Per B                        ;PM*;141.1598171047797 -09.6087804184757;M1.5V                  ;   11.1889
63  ;LP 154-64                          ;WD*;142.6317808655666 -08.1239730190768;DA                     ;   37.723 
64  ;MCC 99                             ;** ;146.6673978240451 -10.6794472178442;M2.0V                  ;   17.2049
65  ;G 78-28                            ;** ;148.0247635053511 -10.2788010165425;M3.0V                  ;   18.828 
66  ;EGGR 378                           ;WD*;094.9895937868426 +03.3004550290666;DA3.4                  ;   17.312 
67  ;G 233-2                            ;WD*;102.3922159197031 +00.4603577736540;DA                     ;   37.831 
68  ;HD 239960B                         ;Er*;104.6885322871001 -00.0022308513406;M4V                    ;    4.0005
69  ;HD 221354                          ;PM*;112.8201580223991 -02.1252499026629;K0V                    ;   16.8444
70  ;G 217-18                           ;PM*;114.8447906374014 -00.7690437668681;M3.0V                  ;   18.0432
71  ;G 217-32                           ;** ;117.5505359036235 -02.0323783339133;M4.0V                  ;   15.384 
72  ;GAT 1367                           ;PM*;117.8254612281189 -03.3310917270366;M6.0V                  ;    9.3120
73  ;HD 5015                            ;PM*;123.1290488864608 -01.7471509062774;F9V                    ;   18.903 
74  ;Ross 10                            ;PM*;129.2742397206325 -05.0603098043827;M2.5V                  ;   13.1777
75  ;G 174-25                           ;PM*;142.7387412794759 -07.6993520755840;sdM3                   ;   17.0865
76  ;* iot Per                          ;PM*;144.5977805521842 -07.3801802852219;G0V                    ;   10.5774
77  ;G 208-45                           ;Er*;078.8598181807316 +08.5081075784345;M6V                    ;    4.6603
78  ;G 208-44                           ;Er*;078.8581467561683 +08.5094169955297;M5.5Ve                 ;    4.6919
79  ;LSPM J2036+5100                    ;LM*;088.3386067902533 +06.1325714221125;sdM7.5                 ;   41.4857
80  ;IRAS 21500+5903                    ;PM*;101.7304030765098 +04.0386106366924;M3.9                   ;    8.1263
81  ;Ross 226                           ;PM*;109.2148155567365 +01.2809021322311;M3V                    ;   17.8181
82  ;Wolf 47                            ;Er*;124.3105294478614 -00.4743991407162;M5V                    ;    9.8646
83  ;BD+61 195                          ;PM*;124.2323231673278 -00.4983915387843;M1.5V                  ;    9.8596
84  ;Wolf 44                            ;PM*;124.1176498198641 -01.4832168746734;M2.0V                  ;   10.5296
85  ;1RXS J010228.1+633256              ;PM*;124.1631649428640 +00.6967863237179;~                      ;   16.6091
86  ;Ross 15                            ;Er*;131.7215998530129 -03.1861374909438;M4Ve                   ;   13.1077
87  ;Ross 21                            ;PM*;136.1213125974441 -02.9092202481420;M3.5                   ;   19.9978
